gene	TCGA-EK-A2RE-01	TCGA-IR-A3L7-01	TCGA-Q1-A73Q-01	TCGA-C5-A1MF-01	TCGA-ZJ-A8QQ-01	TCGA-EX-A3L1-01	TCGA-JW-A5VI-01	TCGA-EA-A1QT-01	TCGA-UC-A7PG-01	TCGA-EA-A97N-01	TCGA-EA-A3QD-01	TCGA-C5-A1ME-01	TCGA-DQ-5624-01	TCGA-DQ-7591-01	TCGA-CV-5976-01	TCGA-CV-6948-01	TCGA-CV-A6K0-01	TCGA-BA-6870-01	TCGA-CV-6955-01	TCGA-P3-A5Q6-01	TCGA-QK-A64Z-01	TCGA-IQ-A61O-01	TCGA-CQ-5327-01	TCGA-CR-7374-01	TCGA-BP-4989-01	TCGA-CZ-5459-01	TCGA-A3-3335-01	TCGA-CJ-6028-01	TCGA-CZ-5456-01	TCGA-A3-3383-01	TCGA-CJ-5672-01	TCGA-B0-5075-01	TCGA-CJ-4899-01	TCGA-CW-5590-01	TCGA-CZ-4860-01	TCGA-B0-5700-01	TCGA-S9-A7J2-01	TCGA-E1-A7YI-01	TCGA-DU-7302-01	TCGA-DU-A7TI-01	TCGA-P5-A5EX-01	TCGA-HT-8563-01	TCGA-FG-A60K-01	TCGA-CS-5397-01	TCGA-E1-5322-01	TCGA-HT-8558-01	TCGA-S9-A6U8-01	TCGA-HT-7854-01	TCGA-DD-AAW0-01	TCGA-DD-AACA-01	TCGA-K7-AAU7-01	TCGA-RC-A7SH-01	TCGA-CC-A3MA-01	TCGA-RC-A7SB-01	TCGA-DD-AAVZ-01	TCGA-ED-A627-01	TCGA-DD-AAVV-01	TCGA-BC-4073-01	TCGA-QA-A7B7-01	TCGA-HP-A5N0-01
ADM	6.8592	4.2906	6.5053	4.504	6.093	7.7419	5.1688	7.3592	6.8933	6.8748	5.1165	2.4857	6.1204	5.7605	6.9719	5.464	5.0964	6.0381	7.2207	6.2018	5.2947	7.4473	5.7085	4.287	6.6427	9.69	8.683	7.4444	8.0305	7.7522	6.6501	6.8833	8.5686	6.3823	7.9277	7.5066	0.537	2.6371	0.9191	4.6006	5.1326	1.0079	4.1458	3.7072	0.7832	2.183	3.0927	3.9552	2.8838	5.3169	5.6662	1.6045	5.073	3.1475	2.2813	5.9584	2.004	4.5559	2.727	2.6464
APOE	4.222	4.096	3.5742	7.16	6.4593	6.4016	7.3522	7.2354	4.8022	6.231	9.496	6.5083	6.0191	5.5684	6.9519	6.7434	6.0414	4.7629	4.0645	7.5459	6.72	8.7857	7.2703	4.0782	9.8431	9.954	8.1295	8.1899	9.7474	7.044	9.8419	10.9016	9.4641	8.3684	10.5169	8.9078	12.7858	10.349	10.4186	12.407	10.9587	10.6433	11.7596	10.0545	11.834	8.9711	12.2423	11.9435	13.1672	12.1575	10.0958	13.153	8.2585	13.4746	12.8649	12.0731	12.47	11.0215	12.6326	12.8185
AXL	3.6916	2.3677	2.4465	2.8522	3.4543	5.7263	3.8411	1.8762	2.3366	3.4224	3.1145	2.9413	5.5267	2.2723	4.5814	1.9377	5.2005	1.4547	2.409	2.676	1.2516	5.8102	3.5621	2.6805	4.3385	4.3392	4.4061	6.3637	5.936	4.8963	5.3824	4.7645	5.3438	4.8022	3.421	4.5047	4.1466	4.5528	4.4169	4.7507	4.3017	5.3716	4.1376	5.2296	4.1692	3.6827	4.6821	5.8508	1.8484	0.4865	2.6255	-0.1665	2.8482	-0.3201	0.6332	3.1813	2.1013	2.7161	-0.9406	1.1447
C1QA	2.945	4.6651	3.4464	6.9014	5.7898	5.0644	6.6709	6.9534	5.4104	5.1962	8.6049	6.0389	5.6053	6.7903	6.5382	6.8982	7.201	4.6177	6.155	6.4212	6.4445	7.8569	8.5947	5.6531	8.4405	7.8561	6.8079	8.5469	8.3442	9.4669	9.4248	8.6309	8.6272	8.2814	8.4127	7.6617	5.8362	6.9885	5.7301	7.2267	9.1432	11.0695	6.5099	7.4835	8.9759	4.9289	7.5767	7.4361	6.8592	5.5506	6.4097	2.8562	6.0928	5.7269	5.6545	8.7048	7.6794	7.9541	4.6514	6.7669
C1QB	3.2389	4.6571	3.4569	6.4396	5.8927	4.7587	7.0281	6.7697	5.675	5.4159	8.6062	5.4357	5.4922	6.8187	6.5208	7.1394	7.2566	4.6106	6.4479	6.3916	6.4343	8.0016	8.9365	5.6823	8.6302	8.0967	7.0753	9.1667	8.8544	9.5122	9.6712	9.0122	8.8317	8.5915	8.6787	7.8412	6.4443	7.9526	6.4351	8.272	8.9603	11.6704	7.456	8.6346	9.5503	5.4189	8.6219	8.3654	7.3008	5.7822	6.234	2.5828	6.2521	5.5705	5.6733	8.7962	7.7945	8.3725	4.4906	6.3198
C1QC	3.1112	4.6988	3.4778	5.1111	5.9232	4.834	6.7798	6.6411	5.562	5.278	7.8952	4.2196	5.618	6.8612	6.2924	6.4463	7.1016	4.518	6.2787	5.8215	6.2937	7.4757	8.3456	5.7989	8.3979	7.4539	6.246	8.4259	8.4937	8.696	9.1378	8.8284	8.4376	7.9589	8.2949	7.2639	6.2217	7.7289	6.0148	8.2682	8.5091	11.0646	7.1083	8.2173	9.2049	5.2476	8.5435	8.0502	7.0252	5.4115	6.1332	2.2813	6.1023	5.3075	5.3548	8.306	7.2934	8.0366	4.0506	5.8822
CD163	1.4756	0.1388	0.9191	3.2112	3.3148	2.4857	3.7794	3.4237	1.4652	2.8602	5.1227	3.1939	2.1574	3.2065	2.7465	3.074	4.3681	0.6332	1.7185	4.2943	3.2143	5.3844	5.1579	2.8858	5.1883	5.7645	4.1466	7.0362	6.0268	5.8435	5.9743	6.7412	6.9335	5.8128	6.4715	4.511	0.2998	4.735	0.8164	1.412	5.7916	9.5957	0.5955	2.6114	6.9671	0.3796	1.0983	5.6654	4.7945	2.1638	3.492	0.1519	1.0573	2.9581	2.727	6.0142	4.352	4.5374	1.9564	3.1409
CD36	3.7138	1.5165	0.2762	-2.8262	0.3796	0.8568	0.3685	3.7518	4.3435	0.9935	1.7316	-4.6082	2.0673	1.6093	3.2944	-0.1504	1.9968	2.9692	4.986	0.547	3.6916	0.537	2.727	2.5112	4.232	4.9991	3.7302	6.8278	3.2236	6.257	5.1461	5.1469	8.3949	5.9739	1.0151	6.0457	-1.3548	-1.2828	-0.3022	-0.6193	1.8722	2.1313	-2.2447	0.1903	-1.1172	-1.1488	0.3346	0.1776	4.9855	7.5625	2.2175	-1.9942	2.2663	2.876	4.7629	3.9431	3.7324	5.8205	3.4398	5.2277
CD74	7.2869	8.8178	8.4102	9.5135	9.4681	9.584	10.1405	8.8061	8.9181	9.5249	12.3424	11.2853	10.0893	12.3686	9.4418	9.8166	11.2134	9.1464	11.1728	9.0935	9.2495	11.2781	11.8597	9.7984	13.0275	11.9311	11.611	12.1533	11.5161	12.3709	13.6459	12.6828	11.6535	12.2007	10.9289	12.6573	6.633	8.8393	7.6416	10.8163	12.1241	12.8187	8.857	10.4309	10.9712	7.999	8.9005	10.7558	10.7281	9.3672	9.6021	7.8739	10.5333	8.7346	8.7484	11.521	11.1466	11.0653	8.2586	9.5764
CIITA	-0.7588	1.7744	0.517	1.2992	1.9638	1.8484	3.1261	0.1648	1.5064	2.5972	4.3082	3.2205	1.0079	4.7976	1.1382	1.5709	3.7825	0.7407	3.1876	0.4657	1.3846	2.0878	3.3883	2.1509	4.2488	2.8622	2.3981	3.5694	2.5288	3.1393	4.0269	3.6703	2.9262	2.7117	0.537	2.2237	-0.9971	0.5859	0.2762	3.2143	3.335	6.5953	0.434	2.5388	1.7786	-0.7834	0.6699	2.3953	1.2992	0.4125	1.7617	-1.2481	1.6964	-1.0559	-0.5125	2.1798	1.8918	2.4571	0.9568	0.5955
