program,gene
MDR_injury,INHBA
MDR_injury,NLRP3
MDR_injury,IL1B
MDR_injury,CXCL8
MDR_injury,S100A8
MDR_injury,S100A9
MDR_injury,FCN1
MDR_injury,SPP1
MDR_injury,VEGFA
MDR_injury,ADM
MDR_injury,LGALS3
MDR_injury,MMP9
MDR_injury,FN1
MDR_injury,PLAUR
MDR_injury,TGFBI
MDR_resolution,FOLR2
MDR_resolution,LYVE1
MDR_resolution,SELENOP
MDR_resolution,MRC1
MDR_resolution,STAB1
MDR_resolution,APOE
MDR_resolution,C1QA
MDR_resolution,C1QB
MDR_resolution,C1QC
MDR_resolution,MERTK
MDR_resolution,AXL
MDR_resolution,GAS6
MDR_resolution,IL4I1
MDR_resolution,CD36
MDR_resolution,HMOX1
MDR_resolution,FTH1
MDR_resolution,FTL
MDR_resolution,SLC40A1
MDR_resolution,CD163
MDR_apc_ifn,HLA-DRA
MDR_apc_ifn,HLA-DRB1
MDR_apc_ifn,HLA-DPA1
MDR_apc_ifn,HLA-DPB1
MDR_apc_ifn,CD74
MDR_apc_ifn,CIITA
MDR_apc_ifn,CXCL9
MDR_apc_ifn,CXCL10
MDR_apc_ifn,ISG15
MDR_apc_ifn,IFIT1
MDR_apc_ifn,STAT1
MDR_apc_ifn,IRF1
