"cancer","endpoint","score","n","events","p_logrank","HR_high_vs_low","CI_low","CI_high","file"
"KIRC","DSS","MDR_axis",912,208,3.55689222519828e-09,2.33574873782726,1.74765732599219,3.12173449858902,"KM_TCGA_KIRC_DSS_MDR_axis_median.pdf"
"KIRC","OS","MDR_axis",932,333,9.88619408559543e-08,1.8065671791112,1.44878774701926,2.25270056249201,"KM_TCGA_KIRC_OS_MDR_axis_median.pdf"
"KIRC","PFI","MDR_axis",928,298,1.15898933339409e-07,1.8675806227185,1.47754579165176,2.360574814033,"KM_TCGA_KIRC_PFI_MDR_axis_median.pdf"
"LGG","OS","MDR_apc_ifn",516,128,5.59740092587191e-06,2.31006354092284,1.59254117683256,3.35086692936545,"KM_TCGA_LGG_OS_MDR_apc_ifn_median.pdf"
"LGG","DSS","MDR_apc_ifn",508,115,5.87589264311461e-06,2.41935805741998,1.63030503475322,3.59030566993802,"KM_TCGA_LGG_DSS_MDR_apc_ifn_median.pdf"
"CESC","OS","MDR_axis",296,73,8.13837652147154e-06,3.00750975393187,1.80919306501098,4.99952995339414,"KM_TCGA_CESC_OS_MDR_axis_median.pdf"
"CESC","DSS","MDR_axis",292,56,1.13231456871921e-05,3.56127832771129,1.94331390770155,6.52632767005026,"KM_TCGA_CESC_DSS_MDR_axis_median.pdf"
"LIHC","OS","MDR_axis",422,167,4.27928672299682e-05,1.9184658226614,1.3982659305036,2.63219680350382,"KM_TCGA_LIHC_OS_MDR_axis_median.pdf"
"LGG","OS","MDR_injury",516,128,4.35178668496405e-05,2.09606147756188,1.45853830204645,3.01224432128693,"KM_TCGA_LGG_OS_MDR_injury_median.pdf"
"KICH","PFI","MDR_injury",89,15,9.99431651578231e-05,18.4278272500756,2.41639400633512,140.533711086988,"KM_TCGA_KICH_PFI_MDR_injury_median.pdf"
"LIHC","DSS","MDR_injury",411,99,0.000220950677257026,2.17862764730087,1.42909844855126,3.32126763582688,"KM_TCGA_LIHC_DSS_MDR_injury_median.pdf"
"LGG","DSS","MDR_injury",508,115,0.00022791618358764,2.01338066911081,1.37767402073142,2.94242444711045,"KM_TCGA_LGG_DSS_MDR_injury_median.pdf"
"GBM","PFI","MDR_resolution",158,125,0.000359653924332015,1.9076052811587,1.32925421559525,2.73759365666184,"KM_TCGA_GBM_PFI_MDR_resolution_median.pdf"
"LGG","PFI","MDR_apc_ifn",516,201,0.000692074414324284,1.62269150412244,1.22472012104928,2.14998322661282,"KM_TCGA_LGG_PFI_MDR_apc_ifn_median.pdf"
"GBM","PFI","MDR_injury",158,125,0.000713702001679306,1.85255991940607,1.29117788259121,2.65802125428477,"KM_TCGA_GBM_PFI_MDR_injury_median.pdf"
"UVM","DSS","MDR_apc_ifn",79,20,0.000813638838024655,5.38155362166115,1.78917220175652,16.1868820420872,"KM_TCGA_UVM_DSS_MDR_apc_ifn_median.pdf"
"LGG","PFI","MDR_injury",516,201,0.00110117052626424,1.57890047621346,1.1937009395921,2.08840140030295,"KM_TCGA_LGG_PFI_MDR_injury_median.pdf"
"UVM","OS","MDR_apc_ifn",79,22,0.00113675405938984,4.56742945084462,1.67660056636036,12.4426844455443,"KM_TCGA_UVM_OS_MDR_apc_ifn_median.pdf"
"LIHC","OS","MDR_injury",422,167,0.00138687275746452,1.66347568009924,1.21471092785067,2.27803280174475,"KM_TCGA_LIHC_OS_MDR_injury_median.pdf"
"LIHC","DSS","MDR_axis",411,99,0.0019263857537809,1.90082272179592,1.26174032134509,2.86360589304451,"KM_TCGA_LIHC_DSS_MDR_axis_median.pdf"
"PAAD","OS","MDR_axis",182,95,0.00264349459532609,1.86218811148751,1.23370551734346,2.81083655201001,"KM_TCGA_PAAD_OS_MDR_axis_median.pdf"
"UVM","DSS","MDR_resolution",79,20,0.00267119981325381,4.26448676225912,1.53008912329612,11.8854824000757,"KM_TCGA_UVM_DSS_MDR_resolution_median.pdf"
"KIRP","OS","MDR_injury",346,59,0.00270591612878635,2.23801234340496,1.30398739375992,3.84106416457821,"KM_TCGA_KIRP_OS_MDR_injury_median.pdf"
"UVM","OS","MDR_resolution",79,22,0.00345785086957306,3.76105978909795,1.45512034162714,9.72123770969465,"KM_TCGA_UVM_OS_MDR_resolution_median.pdf"
"LUAD","OS","MDR_injury",621,238,0.00444214831193168,1.44915947147316,1.12085963762417,1.87361834012666,"KM_TCGA_LUAD_OS_MDR_injury_median.pdf"
"PAAD","PFI","MDR_axis",182,107,0.00452384563535257,1.7287976066415,1.17912464189935,2.53471181801024,"KM_TCGA_PAAD_PFI_MDR_axis_median.pdf"
"UVM","PFI","MDR_apc_ifn",78,28,0.004904411496227,3.14445536699766,1.35847044474532,7.27847969993494,"KM_TCGA_UVM_PFI_MDR_apc_ifn_median.pdf"
