"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"LGG","OS","MDR_apc_ifn",516,128,1.83730007558573,1.55043683354399,2.1772390172331,2.17034876458357e-12,5.20883703500057e-11
"KIRC","DSS","MDR_axis",912,208,1.55424861973232,1.37117592217019,1.76176428777752,5.31940017642896e-12,1.17026803881437e-10
"LGG","DSS","MDR_apc_ifn",508,115,1.79691888168432,1.50497010179717,2.14550273357442,9.24935432958121e-11,2.03485795250787e-09
"KIRC","PFI","MDR_axis",928,298,1.40882294832917,1.26572687822688,1.56809666752065,3.56328142759134e-10,1.03335161400149e-08
"KIRC","OS","MDR_axis",932,333,1.35560582181035,1.22285624500718,1.50276629131933,7.20165685229308e-09,1.72839764455034e-07
"LGG","OS","MDR_injury",516,128,1.58828229098099,1.35728045023885,1.85859940397719,7.95351746516752e-09,1.90884419164021e-07
"LGG","DSS","MDR_injury",508,115,1.60993343256858,1.36727545496342,1.8956572707373,1.11113394937636e-08,2.44449468862799e-07
"LGG","PFI","MDR_apc_ifn",516,201,1.46511865758955,1.27870021311723,1.67871457187299,3.78613191813639e-08,1.09797825625955e-06
"CESC","OS","MDR_axis",296,73,1.75709280466917,1.36619301928563,2.25983816388882,1.13169479083782e-05,0.000135803374900538
"LGG","PFI","MDR_injury",516,201,1.3359964498643,1.16553327596725,1.53139043805402,3.19036959051157e-05,0.000925207181248356
"CESC","DSS","MDR_axis",292,56,1.78008221098702,1.34192744309936,2.36129955771224,6.33219926837022e-05,0.000696541919520724
"GBM","PFI","MDR_injury",158,125,1.50400334898341,1.21885882763119,1.85585567620615,0.000141664393220726,0.00205413370170052
"CESC","OS","MDR_injury",296,73,1.58613575367686,1.24045511277687,2.02814805886861,0.000235077125652325,0.0028209255078279
"LIHC","PFI","MDR_axis",423,212,1.27570421430878,1.11374384772148,1.46121681905099,0.000439603783878741,0.00637425486624175
"UVM","OS","MDR_apc_ifn",79,22,1.93978138978753,1.33820126741413,2.811798144114,0.000468784744862064,0.00562541693834476
"LIHC","OS","MDR_injury",422,167,1.31831850287377,1.12747178520726,1.54146977141416,0.000532813961472753,0.00426251169178203
